"from.x","from.y","to.x","to.y","speed"
-80.0101932577667,40.4394384197127,-80.0096082484446,40.4397568003251,27.6034375
-79.975451887022,40.4358814204196,-79.9669779554227,40.435816601867,53.7796727272727
-79.9265064045837,40.4279535385354,-79.9115530718894,40.4257660639259,39.5202807017544
-80.0101932577667,40.4394384197127,-80.0009760641647,40.4363019000935,24.8787916666667
-80.0078912959664,40.4484326874606,-80.0045265038133,40.4491368209507,41.9730188679245
-80.015877744718,40.4488935489873,-80.0134910270279,40.448395428959,46.7826923076923
-79.994345449673,40.4508737849517,-79.992594276606,40.4555879483839,50.6930303030303
-79.9978397129922,40.4539265375579,-79.9967945383682,40.4540789407027,49.6538888888889
-80.0101871745366,40.4919643749712,-79.9991860138232,40.4592068976146,61.4619811320755
-79.994033231545,40.3797725121875,-79.9928810581136,40.3786370809244,27.2738947368421
-79.9936706920704,40.3839552184347,-79.9950761982209,40.3846962459415,27.8288381742739
-79.9974483108745,40.3953454957625,-79.9972991530441,40.3944819507148,28.0336363636364
-79.979833939892,40.4647756106821,-79.97942123021,40.4645937635711,40.9180656934307
-80.0095969522231,40.4141981108114,-79.9992681610306,40.4291466738305,28.2999061032864
-79.9725284218537,40.4370888827526,-79.9669779554227,40.435816601867,43.7122900763359
-79.9592027818445,40.431135859948,-79.9578169472402,40.4300216919363,14.4926775956284
-79.9359242542782,40.399866277981,-79.9348708627099,40.3931345795683,23.805376344086
-79.9447232745249,40.4113125014538,-79.9440772046756,40.4099891732268,31.9294666666667
-79.9731648588893,40.4358185174974,-79.9652637939903,40.4340356295261,32.1318137254902
-80.0390568549862,40.4045897794299,-80.0408154672207,40.4033271978306,32.6774431818182
-79.9082751832002,40.4742161006875,-79.9078463338854,40.484269090485,26.8091358024691
-79.9345972725653,40.4581190230101,-79.9338189014452,40.4583514241283,23.4956666666667
-79.9081917255399,40.4514869349057,-79.90633362374,40.4508599618404,15.6457777777778
-80.0355743026819,40.4677509976448,-80.0377090779032,40.4717698844338,39.5448760330579
-79.9579610956355,40.4651823191294,-79.9566780260826,40.4654002285792,26.1202941176471
-79.9285826861448,40.462697200811,-79.9278224036318,40.4625110416773,15.2950704225352
-80.0039818989551,40.4411618846041,-80.0034702022821,40.4409731298199,9.30138888888889
-79.9387957756585,40.4438816427602,-79.9382423129348,40.4433556560532,23.1826530612245
-79.9885734086844,40.4287024904679,-79.9875177884176,40.4287261132372,12.7029591836735
-79.9898189304022,40.4344805751812,-79.9731648588893,40.4358185174974,12.7917857142857
-80.0070118065913,40.440296741003,-80.0050212863367,40.4395985870424,12.71608
-79.9837980479006,40.3873246882702,-79.9833025253891,40.3870543645284,27.2100961538462
-79.9786844801315,40.3969661650849,-79.9781091313297,40.3969697844693,36.9525210084034
-80.0036758059675,40.4529634141981,-80.0026157622243,40.453148489408,14.7613541666667
-79.9638248676575,40.4378828569689,-79.9620709760214,40.4391314168854,18.863623853211
-79.9207120976228,40.4528937793734,-79.9196924176311,40.4530269621727,21.145843373494
-79.9387957756585,40.4438816427602,-79.9382423129348,40.4433556560532,19.086
-79.9706857360367,40.4592223983745,-79.9692683472242,40.4601879300044,10.1983333333333
-79.9886983152917,40.4307478126265,-79.9898189304022,40.4344805751812,52.9698039215686
-79.9585031032464,40.4315923489134,-79.9561660988133,40.4288591298682,48.9231111111111
-79.9265064045837,40.4279535385354,-79.9115530718894,40.4257660639259,36.3117518248175
-79.897445970603,40.4259951014493,-79.8965606534151,40.4260391502265,51.2680071174377
-80.0273293518876,40.4301995589353,-80.0242829714115,40.4291029347163,30.5660071942446
-80.0101932577667,40.4394384197127,-80.0009760641647,40.4363019000935,29.5947346938776
-80.015877744718,40.4488935489873,-80.0134910270279,40.448395428959,47.3052232142857
-79.994345449673,40.4508737849517,-79.992594276606,40.4555879483839,47.3316666666667
-79.9946287411732,40.4507727787591,-79.9913252132101,40.4477761815735,52.8456451612903
-80.009642218588,40.4458002787287,-80.0068155470256,40.4486238853136,23.9636363636364
-80.0068155470256,40.4486238853136,-80.0040286394832,40.4491018032409,42.8037931034483
-79.9936706920704,40.3839552184347,-79.9950761982209,40.3846962459415,16.3502666666667
-79.9974483108745,40.3953454957625,-79.9972991530441,40.3944819507148,30.0433870967742
-80.0113863018024,40.4150351259468,-80.0099750997733,40.4141620792672,21.4665789473684
-80.0241686810616,40.4288845379861,-80.0241010031242,40.4300070431932,36.6347596153846
-79.994345449673,40.4508737849517,-79.992594276606,40.4555879483839,36.677366255144
-79.9078463338854,40.484269090485,-79.9107570017796,40.4855758818875,21.7065838509317
-80.0095969522231,40.4141981108114,-79.9992681610306,40.4291466738305,27.2366037735849
-79.9592027818445,40.431135859948,-79.9578169472402,40.4300216919363,14.9499319727891
-79.9564077994022,40.4351240791047,-79.9559382017702,40.4349670067122,14.7076315789474
-79.9578169472402,40.4300216919363,-79.9537801038007,40.4259127094974,33.3404736842105
-79.9925236069677,40.441227007875,-79.9896241758045,40.4449731821684,41.7570476190476
-79.9396398601339,40.4566268392728,-79.9385359043376,40.4569330561053,20.3967375886525
-80.0273293518876,40.4301995589353,-80.0242829714115,40.4291029347163,31.3728158844765
-80.0041812112315,40.3781696461072,-80.0037535671907,40.3778788131584,27.3176262626263
-79.9410601796627,40.4573870349761,-79.9396398601339,40.4566268392728,18.0444970414201
-80.0021496442316,40.4427416558446,-80.001204476475,40.44298540556,6.99820224719101
-79.9672138150534,40.4626735671717,-79.9650672892723,40.4639911955612,17.4493421052632
-79.9949588752294,40.4421572580961,-79.9938644319296,40.4438255489674,11.7262857142857
-79.9972665783316,40.4386899150787,-79.9960558139842,40.4382276046981,4.39538461538462
-79.9569706346605,40.4415641163604,-79.9562153213218,40.4409550584561,15.3279661016949
-79.919359125803,40.4380405984466,-79.9177262284597,40.4380394072182,17.4721153846154
-79.9885734086844,40.4287024904679,-79.9875177884176,40.4287261132372,10.6885454545455
-79.9968026100721,40.4393935602654,-79.9955980289364,40.438995824972,9.59803571428571
-79.9207120976228,40.4528937793734,-79.9196924176311,40.4530269621727,23.6490526315789
-80.0430767604775,40.4788616713903,-80.0483759571475,40.4771248893655,29.0705462184874
-79.986890305975,40.4482209559937,-79.9853935919249,40.4491515919171,12.7666666666667
-79.9944194541772,40.4463348640889,-79.9923098235013,40.4476347189048,25.1449704142012
-80.0027081358173,40.4439950799799,-80.0017888478448,40.4442743702389,15.7628965517241
-79.9982712475594,40.4455680725947,-79.9976321603095,40.4445121472975,15.1029285714286
-80.0067515173083,40.4408418211718,-80.0057367068331,40.4411376831204,9.18712643678161
-79.9205127602105,40.4438511543988,-79.9198112496364,40.4439693553477,17.8965168539326
-79.9208303232947,40.4598057873675,-79.9220714798566,40.4591934932994,18.2429411764706
-79.9712749696591,40.4598569651379,-79.9699490292631,40.4607719970544,7.74892307692308
-79.9622902158894,40.4687069929587,-79.9617324544809,40.4691443005922,16.038347107438
-80.0187553958422,40.4510827240505,-80.0188971891777,40.451517912158,18.31765625
-80.0041140549738,40.4422129563758,-80.0030963247696,40.4424896293097,9.84157303370787
-80.0273293518876,40.4301995589353,-80.0242829714115,40.4291029347163,31.8519834710744
-80.0263769229602,40.4310828697937,-80.0282000949053,40.4309920091858,21.447786259542
-80.0308576005311,40.4270385735553,-80.0305372118504,40.4227552574639,30.9774863387978
-80.0301981535007,40.4274028797985,-80.0293313319559,40.4288350771519,28.8427807486631
-80.0083407450601,40.4392119873579,-80.0008965479285,40.4364275526204,41.8200909090909
-79.9631114964208,40.4371088182257,-79.9619869216205,40.4379203551098,15.1153658536585
-79.8954867327822,40.4260918458055,-79.8912583999688,40.4272022288893,33.2815079365079
-79.9321239011022,40.4294067440185,-79.9399628672101,40.4290539909475,45.904702970297
-79.9264800061217,40.4281225755988,-79.929185267285,40.4287156742664,33.1613223140496
-79.9279089232774,40.4276216274133,-79.9271052926905,40.4279722016031,29.857803030303
