Country1,Country2
austria,Austria
brunei,Brunei
cambodia,Cambodia
croatia,Croatia
egypt,Egypt
france,France
germany,Germany
hong kong,Hong Kong
hungary,Hungary
indonesia,Indonesia
italy,Italy
malaysia,Malaysia
philippines,Philippines
qatar,Qatar
singapore,Singapore
slovenia,Slovenia
spain,Spain
switzerland,Switzerland
thailand,Thailand
united kingdom,United Kingdom
united states,United States
vietnam,Vietnam
ecuador,Ecuador
turkey,Turkey
netherlands,Netherlands
portugal,Portugal
lao pdr,Lao PDR
tanzania,Tanzania